"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements","even_split_commitments","even_split_disbursements"
"COL433","COL433_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1","1","OPERACION PROLONGADA DE SOCORRO Y RECUPERACION ORGANIZACION PANAMERICA DE SALUD - OPSR 200148"" Enfoque integrado para abordar la inseguridad alimentaria entre hogares muy vulnerables afrectados por el desplazamiento y la violencia""","2012-01-01","start-actual","2014-01-01","end-actual","United Nations World Food Programme - WFP","DAC","Colombia","COL","151","Government and civil society, general","Implementation","2012","2014","3003718.30107","","231055.253928",""
"COL433","COL433_3685889","4","3685889","Departamento de Córdoba","8.33333","-75.66667","ADM1","first-order administrative division","6295630|6255150|CO|12","Earth|South America|Colombia|Departamento de Córdoba","1","1","1","OPERACION PROLONGADA DE SOCORRO Y RECUPERACION ORGANIZACION PANAMERICA DE SALUD - OPSR 200148"" Enfoque integrado para abordar la inseguridad alimentaria entre hogares muy vulnerables afrectados por el desplazamiento y la violencia""","2012-01-01","start-actual","2014-01-01","end-actual","United Nations World Food Programme - WFP","DAC","Colombia","COL","151","Government and civil society, general","Implementation","2012","2014","3003718.30107","","231055.253928",""
"COL433","COL433_3678847","4","3678847","Departamento de La Guajira","11.5","-72.5","ADM1","first-order administrative division","6295630|6255150|CO|17","Earth|South America|Colombia|Departamento de La Guajira","1","1","1","OPERACION PROLONGADA DE SOCORRO Y RECUPERACION ORGANIZACION PANAMERICA DE SALUD - OPSR 200148"" Enfoque integrado para abordar la inseguridad alimentaria entre hogares muy vulnerables afrectados por el desplazamiento y la violencia""","2012-01-01","start-actual","2014-01-01","end-actual","United Nations World Food Programme - WFP","DAC","Colombia","COL","151","Government and civil society, general","Implementation","2012","2014","3003718.30107","","231055.253928",""
"COL433","COL433_3687479","4","3687479","Departamento del Caquetá","0.75","-74.0","ADM1","first-order administrative division","6295630|6255150|CO|08","Earth|South America|Colombia|Departamento del Caquetá","1","1","1","OPERACION PROLONGADA DE SOCORRO Y RECUPERACION ORGANIZACION PANAMERICA DE SALUD - OPSR 200148"" Enfoque integrado para abordar la inseguridad alimentaria entre hogares muy vulnerables afrectados por el desplazamiento y la violencia""","2012-01-01","start-actual","2014-01-01","end-actual","United Nations World Food Programme - WFP","DAC","Colombia","COL","151","Government and civil society, general","Implementation","2012","2014","3003718.30107","","231055.253928",""
"COL433","COL433_3687029","4","3687029","Departamento del Cauca","2.5","-76.83333","ADM1","first-order administrative division","6295630|6255150|CO|09","Earth|South America|Colombia|Departamento del Cauca","1","1","1","OPERACION PROLONGADA DE SOCORRO Y RECUPERACION ORGANIZACION PANAMERICA DE SALUD - OPSR 200148"" Enfoque integrado para abordar la inseguridad alimentaria entre hogares muy vulnerables afrectados por el desplazamiento y la violencia""","2012-01-01","start-actual","2014-01-01","end-actual","United Nations World Food Programme - WFP","DAC","Colombia","COL","151","Government and civil society, general","Implementation","2012","2014","3003718.30107","","231055.253928",""
"COL433","COL433_3686431","4","3686431","Departamento del Chocó","6.0","-77.0","ADM1","first-order administrative division","6295630|6255150|CO|11","Earth|South America|Colombia|Departamento del Chocó","1","1","1","OPERACION PROLONGADA DE SOCORRO Y RECUPERACION ORGANIZACION PANAMERICA DE SALUD - OPSR 200148"" Enfoque integrado para abordar la inseguridad alimentaria entre hogares muy vulnerables afrectados por el desplazamiento y la violencia""","2012-01-01","start-actual","2014-01-01","end-actual","United Nations World Food Programme - WFP","DAC","Colombia","COL","151","Government and civil society, general","Implementation","2012","2014","3003718.30107","","231055.253928",""
"COL433","COL433_3681344","4","3681344","Departamento del Guaviare","1.91667","-72.0","ADM1","first-order administrative division","6295630|6255150|CO|14","Earth|South America|Colombia|Departamento del Guaviare","1","1","1","OPERACION PROLONGADA DE SOCORRO Y RECUPERACION ORGANIZACION PANAMERICA DE SALUD - OPSR 200148"" Enfoque integrado para abordar la inseguridad alimentaria entre hogares muy vulnerables afrectados por el desplazamiento y la violencia""","2012-01-01","start-actual","2014-01-01","end-actual","United Nations World Food Programme - WFP","DAC","Colombia","COL","151","Government and civil society, general","Implementation","2012","2014","3003718.30107","","231055.253928",""
"COL433","COL433_3680692","4","3680692","Departamento del Huila","2.5","-75.58333","ADM1","first-order administrative division","6295630|6255150|CO|16","Earth|South America|Colombia|Departamento del Huila","1","1","1","OPERACION PROLONGADA DE SOCORRO Y RECUPERACION ORGANIZACION PANAMERICA DE SALUD - OPSR 200148"" Enfoque integrado para abordar la inseguridad alimentaria entre hogares muy vulnerables afrectados por el desplazamiento y la violencia""","2012-01-01","start-actual","2014-01-01","end-actual","United Nations World Food Programme - WFP","DAC","Colombia","COL","151","Government and civil society, general","Implementation","2012","2014","3003718.30107","","231055.253928",""
"COL433","COL433_3674810","4","3674810","Departamento del Meta","3.5","-73.0","ADM1","first-order administrative division","6295630|6255150|CO|19","Earth|South America|Colombia|Departamento del Meta","1","1","1","OPERACION PROLONGADA DE SOCORRO Y RECUPERACION ORGANIZACION PANAMERICA DE SALUD - OPSR 200148"" Enfoque integrado para abordar la inseguridad alimentaria entre hogares muy vulnerables afrectados por el desplazamiento y la violencia""","2012-01-01","start-actual","2014-01-01","end-actual","United Nations World Food Programme - WFP","DAC","Colombia","COL","151","Government and civil society, general","Implementation","2012","2014","3003718.30107","","231055.253928",""
"COL433","COL433_3671178","4","3671178","Departamento del Putumayo","0.5","-76.0","ADM1","first-order administrative division","6295630|6255150|CO|22","Earth|South America|Colombia|Departamento del Putumayo","1","1","1","OPERACION PROLONGADA DE SOCORRO Y RECUPERACION ORGANIZACION PANAMERICA DE SALUD - OPSR 200148"" Enfoque integrado para abordar la inseguridad alimentaria entre hogares muy vulnerables afrectados por el desplazamiento y la violencia""","2012-01-01","start-actual","2014-01-01","end-actual","United Nations World Food Programme - WFP","DAC","Colombia","COL","151","Government and civil society, general","Implementation","2012","2014","3003718.30107","","231055.253928",""
"COL433","COL433_3666313","4","3666313","Departamento del Valle del Cauca","3.75","-76.5","ADM1","first-order administrative division","6295630|6255150|CO|29","Earth|South America|Colombia|Departamento del Valle del Cauca","1","1","1","OPERACION PROLONGADA DE SOCORRO Y RECUPERACION ORGANIZACION PANAMERICA DE SALUD - OPSR 200148"" Enfoque integrado para abordar la inseguridad alimentaria entre hogares muy vulnerables afrectados por el desplazamiento y la violencia""","2012-01-01","start-actual","2014-01-01","end-actual","United Nations World Food Programme - WFP","DAC","Colombia","COL","151","Government and civil society, general","Implementation","2012","2014","3003718.30107","","231055.253928",""
"COL433","COL433_3674021","4","3674021","Departamento de Nariño","1.5","-78.0","ADM1","first-order administrative division","6295630|6255150|CO|20","Earth|South America|Colombia|Departamento de Nariño","1","1","1","OPERACION PROLONGADA DE SOCORRO Y RECUPERACION ORGANIZACION PANAMERICA DE SALUD - OPSR 200148"" Enfoque integrado para abordar la inseguridad alimentaria entre hogares muy vulnerables afrectados por el desplazamiento y la violencia""","2012-01-01","start-actual","2014-01-01","end-actual","United Nations World Food Programme - WFP","DAC","Colombia","COL","151","Government and civil society, general","Implementation","2012","2014","3003718.30107","","231055.253928",""
"COL433","COL433_3666951","4","3666951","Departamento de Tolima","4.0","-75.25","ADM1","first-order administrative division","6295630|6255150|CO|28","Earth|South America|Colombia|Departamento de Tolima","1","1","1","OPERACION PROLONGADA DE SOCORRO Y RECUPERACION ORGANIZACION PANAMERICA DE SALUD - OPSR 200148"" Enfoque integrado para abordar la inseguridad alimentaria entre hogares muy vulnerables afrectados por el desplazamiento y la violencia""","2012-01-01","start-actual","2014-01-01","end-actual","United Nations World Food Programme - WFP","DAC","Colombia","COL","151","Government and civil society, general","Implementation","2012","2014","3003718.30107","","231055.253928",""
"COL76","COL76_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474","","308374.008321",""
"COL76","COL76_3685889","4","3685889","Departamento de Córdoba","8.33333","-75.66667","ADM1","first-order administrative division","6295630|6255150|CO|12","Earth|South America|Colombia|Departamento de Córdoba","1","1","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474","","308374.008321",""
"COL76","COL76_3687479","4","3687479","Departamento del Caquetá","0.75","-74.0","ADM1","first-order administrative division","6295630|6255150|CO|08","Earth|South America|Colombia|Departamento del Caquetá","1","1","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474","","308374.008321",""
"COL76","COL76_3687029","4","3687029","Departamento del Cauca","2.5","-76.83333","ADM1","first-order administrative division","6295630|6255150|CO|09","Earth|South America|Colombia|Departamento del Cauca","1","1","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474","","308374.008321",""
"COL76","COL76_3686431","4","3686431","Departamento del Chocó","6.0","-77.0","ADM1","first-order administrative division","6295630|6255150|CO|11","Earth|South America|Colombia|Departamento del Chocó","1","1","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474","","308374.008321",""
"COL76","COL76_3680692","4","3680692","Departamento del Huila","2.5","-75.58333","ADM1","first-order administrative division","6295630|6255150|CO|16","Earth|South America|Colombia|Departamento del Huila","1","1","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474","","308374.008321",""
"COL76","COL76_3674810","4","3674810","Departamento del Meta","3.5","-73.0","ADM1","first-order administrative division","6295630|6255150|CO|19","Earth|South America|Colombia|Departamento del Meta","1","1","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474","","308374.008321",""
"COL76","COL76_3671178","4","3671178","Departamento del Putumayo","0.5","-76.0","ADM1","first-order administrative division","6295630|6255150|CO|22","Earth|South America|Colombia|Departamento del Putumayo","1","1","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474","","308374.008321",""
"COL76","COL76_3674021","4","3674021","Departamento de Nariño","1.5","-78.0","ADM1","first-order administrative division","6295630|6255150|CO|20","Earth|South America|Colombia|Departamento de Nariño","1","1","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474","","308374.008321",""
"COL76","COL76_3688685","4","3688685","Bogota D.C.","4.25","-74.18333","ADM1","first-order administrative division","6295630|6255150|CO|34","Earth|South America|Colombia|Bogota D.C.","1","1","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474","","308374.008321",""
"COL76","COL76_3688650","4","3688650","Departamento de Bolívar","9.0","-74.33333","ADM1","first-order administrative division","6295630|6255150|CO|35","Earth|South America|Colombia|Departamento de Bolívar","1","1","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474","","308374.008321",""
"COL76","COL76_3686880","4","3686880","Departamento del Cesar","9.33333","-73.5","ADM1","first-order administrative division","6295630|6255150|CO|10","Earth|South America|Colombia|Departamento del Cesar","1","1","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474","","308374.008321",""
"COL76","COL76_3675686","4","3675686","Departamento del Magdalena","10.0","-74.5","ADM1","first-order administrative division","6295630|6255150|CO|38","Earth|South America|Colombia|Departamento del Magdalena","1","1","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474","","308374.008321",""
"COL76","COL76_3689815","4","3689815","Antioquia","7.0","-75.5","ADM1","first-order administrative division","6295630|6255150|CO|02","Earth|South America|Colombia|Antioquia","1","1","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474","","308374.008321",""
"COL76","COL76_3673798","4","3673798","Departamento de Norte de Santander","8.0","-73.0","ADM1","first-order administrative division","6295630|6255150|CO|21","Earth|South America|Colombia|Departamento de Norte de Santander","1","1","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474","","308374.008321",""
"COL76","COL76_3689436","4","3689436","Atlántico","10.75","-75.0","ADM1","first-order administrative division","6295630|6255150|CO|04","Earth|South America|Colombia|Atlántico","1","1","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474","","308374.008321",""
"COL76","COL76_3685413","4","3685413","Cundinamarca","5.0","-74.16667","ADM1","first-order administrative division","6295630|6255150|CO|33","Earth|South America|Colombia|Cundinamarca","1","1","1","Desmovilización y reintegración","2006-06-02","start-actual","2014-06-02","end-actual","United States","USA","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2006","2014","6475854.17474","","308374.008321",""
