"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"COL433","COL433_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL76","COL76_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL258","COL258_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL242","COL242_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL13","COL13_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL208","COL208_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL545","COL545_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL289","COL289_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL262","COL262_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL407","COL407_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL245","COL245_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL72","COL72_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL282","COL282_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL219","COL219_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL366","COL366_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL353","COL353_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL232","COL232_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL354","COL354_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
"COL104","COL104_3689717","4","3689717","Departamento de Arauca","6.66667","-71.0","ADM1","first-order administrative division","6295630|6255150|CO|03","Earth|South America|Colombia|Departamento de Arauca","1","1"
