"Project_ID","PROYECTO","OBJETIVO","MODALIDAD","ENTIDADES RESPONSABLES","MONEDA","APORTE NACIONAL","APORTE INTERNACIONAL","BENEFICIARIOS","TERRITORIOS","MUNICIPIOS","TIPO DE COOPERACION"
"COL1","Empoderamiento y protecci?n a los defensores de derechos humanos y las comunidades de base en Colombia","Empoderamiento y protección a los defensores de derechos humanos y las comunidades de base en Colombia","Cooperación Financiera","NO ESPECIFICA","US Dolar","0","1.460.674,00","ORGANIZACIONES SOCIALES","BOGOTÁ D.C., CHOCÓ","","BILATERALES"
"COL2","Energ?a Solar para Escuelas en el Nudo de Paramillo","El Proyecto busca brindar energía solar y acceso a internet a 26 escuelas en veredas campesinas en el Magdalena Medio.","Cooperación Técnica","USAID","US Dolar","49.875,00","199.500,00","CAMPESINOS","CÓRDOBA, ANTIOQUIA","","BILATERALES"
"COL3","Proyecto para la donaci?n de equipos m?dicos a la E.S.E. Hospital de Hatillo de Loba.","Mejorar los niveles de calidad y cobertura de salud en el municipio de Mitú","Cooperación Financiera","NO ESPECIFICA","US Dolar","0","100.086,00","POBLACIÓN EN GENERAL","BOLIVAR","HATILLO DE LOBA","BILATERALES"
"COL4","Proyecto para la construcci?n de un hogar para primera infancia en Tiquisio","Contribuir al desarrollo integral de la población infantil en Colombia (apoyo a la estrategia Nacional para la primera infancia ""De Cero a Siempre"")","Cooperación Financiera","NO ESPECIFICA","US Dolar","0","112.109,00","INFANCIA Y ADOLESCENCIA, MUJERES","BOLIVAR","TIQUISIO","BILATERALES"
"COL5","Centro Latinoamericano de Investigaci?n en Malaria (CLAIM)","Generar conocimiento y proveeer soporte técnico y científico al gobierno de Colombia necesarios para fortalecer el control de la malaria y facilitar los programas de eliminación en las regiones.","Cooperación Científica y Tecnológica","CENTRO LATINOAMERICANO PARA LA INVESTIGACIÓN Y CONTROL DE LA MALARIA - CLAIM","US Dolar","75.000,00","2.975.000,00","POBLACIÓN EN GENERAL","VALLE DEL CAUCA, CHOCÓ, CAUCA, NARIÑO","","BILATERALES"
"COL6","Estudio de una nueva lacasa f?ngica para su empleo en el aprovechamiento de la biomasa vegetal. PCI 2011","Caracterización de las lacasas producidas por una nueva cepa de ascomiceto del grupo PROBIM de la UN, y su comparación a nivel básico y aplicado con lacasas de basidiomicetos ligniloliticos de la colección del CIB","Cooperación Técnica","U. NACIONAL DE COLOMBIA","US Dolar","0","26.252,00","INSTITUCIONES","AMBITO NACIONAL","","BILATERALES"
"COL7","Red de arquitectura vern?cula iberoamericana. PCI 2011","Fortalecer el trabajo en red","Cooperación Técnica","U. NACIONAL DE COLOMBIA","US Dolar","0","117.000,00","INSTITUCIONES","AMBITO NACIONAL","","BILATERALES"
"COL8","READAPTACI?N CON BASE COMUNITARIA: las personas con discapacidades en ?mbitos que desarrollen su potencial como individuos en igualdad de condiciones con sus conciudadanos-Colombia","READAPTACIÓN CON BASE COMUNITARIA: las personas con discapacidades en ámbitos que desarrollen su potencial como individuos en igualdad de condiciones con sus conciudadanos-Colombia","Cooperación Técnica","HANDICAP INTERNATIONAL- BÉLGICA","US Dolar","0","49.763,50","PERSONAS CON DISCAPACIDAD","BOLIVAR, ANTIOQUIA","","BILATERALES"
"COL9","Cooperaci?n triangular para el desarrollo de las capacidades t?cnicas en la regi?n de la Cuenca del Caribe y Am?rica del Sur.","Contribuir a la creación de trabajo para apoyar la política de erradicación de la pobreza en Colombia y fortalecer las capacidades técnicas de diferentes países.","Cooperación Científica y Tecnológica","SENA","US Dolar","200.000,00","500.000,00","INSTITUCIONES","AMBITO NACIONAL","","BILATERALES"
"COL10","Desarrollo de micro tareas en modalidad teleservicios para personas con discapacidad en las regiones de Santander y Valle","Potenciar el acercamiento de las personas con discapacidad al mercado laboral, especialmente en relación con aquellas actividades que pueden prestarse de forma telemática incorporando a personas con discapacidad al empleo en forma de autoempleados","Cooperación Técnica","SENA","US Dolar","0","65.000,00","PERSONAS CON DISCAPACIDAD","SANTANDER, VALLE DEL CAUCA","BUCARAMANGA, CALI","BILATERALES"
"COL11","Proyectos de varias organizaciones en el ?rea de desarrollo econ?mico.","Fomentar el desarrollo económico.","Cooperación Financiera","NO ESPECIFICA","US Dolar","0","578.500,00","POBLACIÓN EN GENERAL","AMBITO NACIONAL","","BILATERALES"
"COL12","FORTALECIMIENTO DE CAPACIDADES DE UNA RED DE AGENTES DE CAMBIO SOCIAL","Fortalecer la capacidad de las organizaciones y redes de organizaciones de la sociedad civil para trabajar por equilibrio Norte-Sur y las políticas de participación (cooperación) para desarrollar la gobernanza democrática y el acceso equitativo a los derechos económicos y sociales.","Cooperación Técnica","SOLIDARITÉ SOCIALISTE","US Dolar","0","272.709,00","ORGANIZACIONES SOCIALES","AMBITO NACIONAL","","BILATERALES"
"COL13","EL TRABAJO DECENTE EN LA REGI?N ANDINA","EL TRABAJO DECENTE EN LA REGIÓN ANDINA","Cooperación Técnica","SOLIDARITÉ SOCIALISTE","US Dolar","0","8.320,00","POBLACIÓN EN GENERAL","ARCHIPIÉLAGO DE SAN ANDRÉS, ATLÁNTICO, CESAR, MAGDALENA, BOLIVAR, LA GUAJIRA, ARAUCA, CASANARE, META, SUCRE","","BILATERALES"
