"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"COL1","1","Empoderamiento y protección a los defensores de derechos humanos y las comunidades de base en Colombia","2012-01-01","start-actual","2015-01-01","end-actual","Sweden","SWE","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2012","2015","1434153.58881",""
"COL2","1","Energía Solar para Escuelas en el Nudo de Paramillo","2012-06-01","start-actual","2013-06-01","end-actual","United States","USA","Colombia","COL","110","Education","Implementation","2012","2013","195877.821449",""
"COL3","1","Proyecto para la donación de equipos médicos a la E.S.E. Hospital de Hatillo de Loba.","2012-03-26","start-actual","2013-09-26","end-actual","Japan","JPN","Colombia","COL","120","Health","Implementation","2012","2013","98268.8102135",""
"COL4","1","Proyecto para la construcción de un hogar para primera infancia en Tiquisio","2012-03-07","start-actual","2013-10-07","end-actual","Japan","JPN","Colombia","COL","160","Other social infrastructure and services","Implementation","2012","2013","110073.517217",""
"COL5","1","Centro Latinoamericano de Investigación en Malaria (CLAIM)","2010-06-29","start-actual","2017-06-29","end-actual","United States","USA","Colombia","COL","321","Industry","Implementation","2010","2017","3038419.81253",""
"COL6","1","Estudio de una nueva lacasa fúngica para su empleo en el aprovechamiento de la biomasa vegetal. PCI 2011","2012-01-01","start-actual","2013-07-01","end-actual","Spain","ESP","Colombia","COL","321","Industry","Implementation","2012","2013","25775.3612466",""
"COL7","1","Red de arquitectura vernácula iberoamericana. PCI 2011","2012-01-01","start-actual","2013-07-01","end-actual","Spain","ESP","Colombia","COL","321","Industry","Implementation","2012","2013","114875.714835",""
"COL8","1","READAPTACIÓN CON BASE COMUNITARIA: las personas con discapacidades en ámbitos que desarrollen su potencial como individuos en igualdad de condiciones con sus conciudadanos-Colombia","2011-01-01","start-actual","2014-01-01","end-actual","Belgium","BEL","Colombia","COL","113","Secondary education","Implementation","2011","2014","49763.5",""
"COL9","1","Cooperación triangular para el desarrollo de las capacidades técnicas en la región de la Cuenca del Caribe y América del Sur.","2012-12-19","start-actual","2014-12-19","end-actual","Korea","KOR","Colombia","COL","113","Secondary education","Implementation","2012","2014","490921.858269",""
"COL10","1","Desarrollo de micro tareas en modalidad teleservicios para personas con discapacidad en las regiones de Santander y Valle","2011-12-01","start-actual","2013-12-01","end-actual","Spain","ESP","Colombia","COL","113","Secondary education","Implementation","2011","2013","65000.0",""
"COL11","1","Proyectos de varias organizaciones en el área de desarrollo económico.","2010-01-01","start-actual","2021-01-01","end-actual","Germany","DEU","Colombia","COL","151","Government and civil society, general","Implementation","2010","2021","590832.22237",""
"COL12","1","FORTALECIMIENTO DE CAPACIDADES DE UNA RED DE AGENTES DE CAMBIO SOCIAL","2011-01-01","start-actual","2014-01-01","end-actual","Belgium","BEL","Colombia","COL","151","Government and civil society, general","Implementation","2011","2014","272709.0",""
"COL13","1","EL TRABAJO DECENTE EN LA REGIÓN ANDINA","2011-01-01","start-actual","2014-01-01","end-actual","Belgium","BEL","Colombia","COL","151","Government and civil society, general","Implementation","2011","2014","8320.0",""
"COL14","1","Proyecto para la construcción de un colegio en Ríosucio","2012-03-27","start-actual","2013-10-27","end-actual","Japan","JPN","Colombia","COL","110","Education","Implementation","2012","2013","89162.2097426",""
"COL15","1","Fondo de Estudios y Expertos","1994-12-01","start-actual","2013-12-01","end-actual","Germany","DEU","Colombia","COL","151","Government and civil society, general","Implementation","1994","2013","8594522.45473",""
"COL16","1","Proyecto de Políticas Públicas","2010-06-30","start-actual","2015-06-30","end-actual","United States","USA","Colombia","COL","151","Government and civil society, general","Implementation","2010","2015","27971391.5055",""
"COL17","1","Proyecto del complejo recreativo-educativo-cultural y de servicios del barrio el Pozón de Cartagena de Indias","2012-12-01","start-actual","2014-12-01","end-actual","Spain","ESP","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2012","2014","246344.588479",""
"COL18","1","Sustainable livelihoods through co-operatives Program 2011-16","2011-04-04","start-actual","2015-09-04","end-actual","Canada","CAN","Colombia","COL","151","Government and civil society, general","Implementation","2011","2015","792536.33",""
"COL19","1","Fondo Local para la Promoción de la Responsabilidad Social Corporativa en Colombia","2011-03-24","start-actual","2016-03-24","end-actual","Canada","CAN","Colombia","COL","151","Government and civil society, general","Implementation","2011","2016","6591667.0",""
"COL20","1","Revisión de la Gobernabilidad Pública y seguimiento a la implementación.","2012-03-01","start-actual","2015-02-01","end-actual","United States","USA","Colombia","COL","151","Government and civil society, general","Implementation","2012","2015","1262332.9021",""
"COL21","1","Desarrollo de las Mipymes bajo el modelo de clúster - Fortalecimiento de las políticas de competitividad y productividad en Colombia","2012-01-02","start-actual","2016-03-02","end-actual","Korea","KOR","Colombia","COL","151","Government and civil society, general","Implementation","2012","2016","736382.787404",""
"COL22","1","Asistencia técnica al Proyecto Nacional de Sistemas de Inspeccion de carga no invasivos.","2012-06-30","start-actual","2013-06-30","end-actual","United States","USA","Colombia","COL","151","Government and civil society, general","Implementation","2012","2013","69492.7185635",""
"COL23","1","Proyecto de Fortalecimiento Sindical II","2012-05-10","start-actual","2015-11-10","end-actual","United States","USA","Colombia","COL","151","Government and civil society, general","Implementation","2012","2015","2945531.14962",""
"COL24","1","Pakaisu II: Puesta en marcha de una experiencia piloto de comercialización comunitaria que consolide el proceso socio-empresarial productivo","2010-12-01","start-actual","2013-06-01","end-actual","Spain","ESP","Colombia","COL","151","Government and civil society, general","Implementation","2010","2013","437008.517084",""
"COL25","1","Ana-Mú: Consolidación de los procesos socio productivos y comerciales de dos asociaciones agropecuarias, bajo un enfoque de derechos y sostenibilidad","2011-06-01","start-actual","2013-06-01","end-actual","Spain","ESP","Colombia","COL","151","Government and civil society, general","Implementation","2011","2013","371912.0",""
"COL26","1","Apoyo al proyecto de desarrollo de un marco institucional y operativo para las Alianzas Público-Privadas en Colombia","2012-07-01","start-actual","2013-12-01","end-actual","United Kindom","GBR","Colombia","COL","151","Government and civil society, general","Implementation","2012","2013","158399.864945",""
"COL27","1","Fomento del tejido empresarial del sector cultural en la región de Antioquia/ subregión de Urabá (FOMECC Colombia)","2011-12-01","start-actual","2013-12-01","end-actual","Spain","ESP","Colombia","COL","151","Government and civil society, general","Implementation","2011","2013","200892.0",""
"COL28","1","Fomento del emprendimiento femenino y apoyo en los procesos productivos y medioambientales a los microempresarios del Valle del Cauca","2011-12-01","start-actual","2013-12-01","end-actual","Spain","ESP","Colombia","COL","151","Government and civil society, general","Implementation","2011","2013","260000.0",""
"COL29","1","Iniciativas productivas y sociales a través de la migración temporal","2011-12-01","start-actual","2013-12-01","end-actual","Spain","ESP","Colombia","COL","151","Government and civil society, general","Implementation","2011","2013","260000.0",""
"COL30","1","Desarrollo con Identidad Regional entre España y Nariño (DIRENA)","2012-12-31","start-actual","2014-06-30","end-actual","Spain","ESP","Colombia","COL","151","Government and civil society, general","Implementation","2012","2014","165931.588095",""
"COL31","1","Puesta en macha del Centro APIC de formación para poblaciones vulnerables en el municipio de Montelíbano Córdoba - Fase III","2011-04-01","start-actual","2013-06-01","end-actual","Spain","ESP","Colombia","COL","151","Government and civil society, general","Implementation","2011","2013","455000.0",""
"COL32","1","Aportar al ejercicio efectivo de los derechos socioeconómicos de organizaciones pertenecientes a la Red Piscícola - Codigo 12-PRI-0392","2013-02-01","start-actual","2014-02-01","end-actual","Spain","ESP","Colombia","COL","151","Government and civil society, general","Implementation","2013","2014","241701.83876",""
"COL33","0","Proyecto para la construcción de un centro comunitario en Regidor.","2011-10-26","start-actual","2013-10-26","end-actual","Japan","JPN","Colombia","COL","151","Government and civil society, general","Implementation","2011","2013","111830.0",""
"COL34","1","Proyecto para la construcción del centro de estudios del Pacífico en Tumaco","2012-02-06","start-actual","2013-09-06","end-actual","Japan","JPN","Colombia","COL","151","Government and civil society, general","Implementation","2012","2013","110236.503274",""
"COL35","1","Encuesta de Valores Democráticos/Barómetro de las Américas","2005-11-28","start-actual","2014-03-28","end-actual","United States","USA","Colombia","COL","151","Government and civil society, general","Implementation","2005","2014","2801539.03358",""
"COL36","1","Proyecto Piloto de Certificación RSPO Palma de Aceite en el Catatumbo","2010-12-01","start-actual","2013-12-01","end-actual","Netherlands","NLD","Colombia","COL","151","Government and civil society, general","Implementation","2010","2013","1724005.52954",""
"COL37","1","Acompañamiento al diseño y ejecución de las políticas transicionales y de construcción de la paz en Colombia","2011-12-01","start-actual","2013-12-01","end-actual","Spain","ESP","Colombia","COL","152","Conflict prevention and resolution, peace and security","Implementation","2011","2013","650000.0",""
"COL38","1","Política de competencia II  COMPAL II","2011-11-01","start-actual","2015-11-01","end-actual","Switzerland","CHE","Colombia","COL","151","Government and civil society, general","Implementation","2011","2015","3000000.0",""
"COL39","1","SCORE: Mantenimiento de empresas competitivas y responsables.","2010-01-01","start-actual","2014-01-01","end-actual","Switzerland","CHE","Colombia","COL","151","Government and civil society, general","Implementation","2010","2014","2162690.02878",""
