participating_org	donors	donors_iso3	donor_country
URUGUAY	Uruguay	URY	Uruguay
ESTADOS UNIDOS	United States	USA	United States
UNITED STATES INSTITUTE OF PEACE	United States Institute of Peace	USA	United States
REINO UNIDO	United Kindom	GBR	United Kindom
TURQUIA	Turkey	TUR	Turkey
SUIZA	Switzerland	CHE	Switzerland
CHAÎNE DU BONHEUR	Swiss Solidarity	CHE	Switzerland
SWISSAID	SWISSAID	CHE	Switzerland
SUECIA	Sweden	SWE	Sweden
ESPAÑA	Spain	ESP	Spain
AYUNTAMIENTO DE CORDOBA	Spain	ESP	Spain
GENERALITAT VALENCIANA	Spain	ESP	Spain
AYUNTAMIENTO DE GIJON	Spain	ESP	Spain
GOBIERNO VASCO	Spain	ESP	Spain
GENERALITAT DE VALENCIA	Spain	ESP	Spain
GOBIERNO DE NAVARRA	Spain	ESP	Spain
SINGAPUR	Singapore	SGP	Singapore
PAISES BAJOS	Netherlands	NLD	Netherlands
MEXICO	Mexico	MEX	Mexico
MADAGASCAR	Madagascar	MDG	Madagascar
COREA	Korea	KOR	Korea
JAPON	Japan	JPN	Japan
INDONESIA	Indonesia	IDN	Indonesia
HONDURAS	Honduras	HND	Honduras
GUATEMALA	Guatemala	GCA	Guatemala
ALEMANIA	Germany	DEU	Germany
FRANCIA	France	FRA	France
FINLANDIA	Finland	FIN	Finland
ECUADOR	Ecuador	ECU	Ecuador
COSTA RICA	Costa Rica	CRI	Costa Rica
CHINA	China	CHN	China
CHILE	Chile	CHL	Chile
CANADA	Canada	CAN	Canada
BRASIL	Brazil	BRA	Brazil
BOLIVIA	Bolivia	BOL	Bolivia
SWISSAID	Belgium	BEL	Belgium
FAMILIAS BELGICA PRIVADAS	Belgium Private Donation	BEL	Belgium
AZERBAIYAN	Azerbaijan	AZE	Azerbaijan
ARGENTINA	Argentina	ARG	Argentina
UNION EUROPEA - UE	European Union	DAC	
UNION EUROPEA -UE	European Union	DAC	
BANCO INTERAMERICANO DE DESARROLO - BID	Inter-American Development Bank	DAC	
FUNDACION FORD	Ford Foundation	DAC	
PROGRAMA DE LAS NACIONES UNIDAS PARA EL DESARROLLO - PNUD/PROGRAMA DE LAS NACIONES UNIDAS - UNDP	United Nations Development Programme	DAC	
CORPORACION ANDINA DE FOMENTO - CAF	Andean Development Corporation	DAC	
FONDO DE POBLACION DE LAS NACIONES UNIDAS - UNFPA	United Nations Population Fund	DAC	
ORGANIZACION INTERNACIONAL PARA LAS MIGRACIONES - OIM	International Organization for Migration	DAC	
BANCO MUNDIAL - BM	World Bank	DAC	
FUNDACION INTERAMERICANA IAF	Inter-American Fundation	DAC	
ORGANIZACION PANAMERICA DE SALUD - OPS/ORGANIZACION MUNDIAL DE LA SALUD - OMS	Pan American Health Organization	DAC	
FONDO DE NACIONES UNIDAS PARA LA INFANCIA - UNICEF	United Nations Children's Fund	DAC	
ENTIDAD DE LAS NACIONES UNIDAS PARA LA IGUALDAD DE GENERO Y EMPODERAMIENTO DE LAS MUJERES - ONU MUJERES	UN Women	DAC	
FONDO MUNDIAL	Global Fund	DAC	
AGENCIA DE LA ONU PARA LOS REFUGIADOS - ACNUR	UN Refugee Agency – UNHCR	DAC	
COMITE INTERNACIONAL PARA EL DESARROLLO DE LOS PUEBLOS - CISP	International Committee for the Development of Peoples – CISP	DAC	
GIVE TO COLOMBIA	Give to Colombia	DAC	
GORDON AND BETTY MOORE FOUNDATION	Gordon and Betty Moore Foundation	DAC	
PLAN INTERNACIONAL SUECIA	Plan International Sweden	DAC	
UNION EUROPEA - UE/COMISION EUROPEA AYUDA HUMANITARIA - ECHO	ECHO – European Commission	DAC	
CHILDREN INTERNATIONAL	Children International	DAC	
DIAKONIA	Diakonia	DAC	
EMPOWER	Empower	DAC	
FUNDACION DESARROLLO SOSTENIDO - FUNDESO	Foundation for Sustainable Development – FUNDESO	DAC	
FUNDACION MARIA LUISA DE MORENO	MARIA LUISA de MORENO International Foundation	DAC	
FUNDACION PEARSON	Pearson Foundation	DAC	
FUNDACION TIERRA DE HOMBRES	Tierra de Hombres	DAC	
MISEREOR	MISEREOR	DAC	
OFICINA DE LAS NACIONES UNIDAS CONTRA LAS DROGAS Y EL DELITO - UNODC	UNODC – United Nations Office on Drugs and Crime	DAC	
PLAN INTERNACIONAL ALEMANIA	Plan International Germany	DAC	
AGENCIA DEL SISTEMA DE NACIONES UNIDAS PARA LA AGRICULTURA Y LA ALIMENTACION - FAO	Food and Agriculture Organization of the United Nations (FAO)	DAC	
ATLAS SERVICE CORPS INTERNATIONAL	Atlas Corps	DAC	
FERROVIAL	Ferrovial	DAC	
AYUDA EN ACCIÓN	Help in Action	DAC	
CCFD-TERRE SOLIDAIRE	CCFD – Terre Solidaire	DAC	
DKA AUSTRIA	DKA Austria	DAC	
CEMEX	Cemex	DAC	
CENTER FOR TROPICAL FOREST SCIENCE - CTFS	Center for Tropical Forest Science – CTFS	DAC	
PORTICUS	Porticus	DAC	
CENTRO LATINOAMERICANO PARA EL DESARROLLO RURAL - RIMISP	RIMISP Latin American Center for Rural Development	DAC	
CHEVRON	Chevron	DAC	
CHILDREN OF THE ANDES	Children of the Andes	DAC	
FUNDACION FORD	Ford Foundation	DAC	
CITI FOUNDATION	Citi Foundation	DAC	
FIFA	FIFA	DAC	
COCA COLA	Coca-Cola	DAC	
COMARCA RENANA DE NEUSS	Rhein Kreis Neuss	DAC	
CONEXION COLOMBIA	Conexion Colombia	DAC	
CONSERVATION INTERNATIONAL	Conservation International	DAC	
DIPUTACIÓN FORAL DE VIZCAYA	Vizcaya Provincial Council	DAC	
ANIMAL AND THE ENVIRONMENT	Unspecified	DAC	
DISNEYS SCIENCE	Disney Educational Productions	DAC	
FONDATION AIDE AUX ENFANTS	Aide Aux Enfants Foundation	DAC	
FUNDACION BBVA	BBVA Foundation	DAC	
FUNDACION ENRIQUE DE OSSO	FundEO	DAC	
FUNDACION FORMULA SONRISAS	Formula Smiles Foundation	DAC	
FUNDACION HORIZON	Horizons Foundation	DAC	
FUNDACION LUA NOVA	Lua Nova	DAC	
FUNDACION SIEMENS	Siemens Foundation	DAC	
FUNDACION SOLIDARIDAD CARREFOUR	Carrefour Foundation	DAC	
FUNDACION TELEFONICA	Telefonica Foundation	DAC	
FUNDACION TIERRA DE HOMBRES - GINEBRA	Tierra de Hombres	DAC	
FUNDACION WILLIAM J. CLINTON	The Clinton Foundation	DAC	
CARING FOR COLOMBIA	Caring for Colombia	DAC	
ANNENBERG FOUNDATION	Annenberg Foundation	DAC	
J.P. MORGAN	J.P. Morgan	DAC	
CEPSA - COMPAÑIA ESPAÑOLA DE PETROLEOS S.A.U.	CEPSA	DAC	
GRUPO ORTIZ	Grupo Ortiz	DAC	
ACTEC	The American College of Trust and Estate Counsel	DAC	
GOOGLE	Google	DAC	
HEWLETT PACKARD	Hewlett-Packard	DAC	
KINDER MISSION	KINDER	DAC	
MEDICOR FOUNDATION	Medicor Foundation	DAC	
MERCY CORPS	Mercy Corps	DAC	
ETEX	ETEX	DAC	
AFRICANO Y ASIÁTICO DE VIVIENDA POPULAR - SELAVIP	SELAVIP	DAC	
SERVICIO LATINOAMERICANO	Latin America Service Centers	DAC	
TROCAIRE	Trocaire College	DAC	
MISSION PROKURA INTERNATIONAL	Prokura	DAC	
