"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements","even_split_commitments","even_split_disbursements"
"ACID004","ACID004_3615213","1","3615213","Amapala","13.29222","-87.65389","PPL","populated place","6295630|6255149|HN|17|3615213","Earth|North America|Honduras|Departamento de Valle|Amapala","2","1","1","Programa de Desarrollo del Municipio de Amapala Fase II","2006-12-23","start-actual","2011-12-01","end-actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","16050|43010","Multisector aid for social services|Multisector aid","Completion","2006","2011","2920746.71243","2874614.7785","2920746.71243","2874614.7785"
"ACID003","ACID003_3615213","1","3615213","Amapala","13.29222","-87.65389","PPL","populated place","6295630|6255149|HN|17|3615213","Earth|North America|Honduras|Departamento de Valle|Amapala","2","1","1","Programa de Desarrollo del Municipio de Amapala Fase I","2004-12-15","start_actual_type","2011-05-27","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","16050|43010","Multisector aid for social services|Multisector aid","Completion","2004","2011","1455847.89087","1420718.47844","1455847.89087","1420718.47844"
"ACID006","ACID006_3614817","1","3614817","Bataán","15.55","-87.71667","PPL","populated place","6295630|6255149|HN|18|3614817","Earth|North America|Honduras|Departamento de Yoro|Bataán","2","1","1","Programa de Reconstrucción tras el Paso de los Huracanes Beta y Gamma en Honduras","2006-12-23","start-actual","2010-09-23","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","21061","Storage","Completion","2006","2010","2909762.39579","2903048.2412","323306.932866","322560.915689"
"ACID006","ACID006_3613175","1","3613175","Corozal","15.8","-86.71667","PPL","populated place","6295630|6255149|HN|01|3613175","Earth|North America|Honduras|Departamento de Atlántida|Corozal","2","1","1","Programa de Reconstrucción tras el Paso de los Huracanes Beta y Gamma en Honduras","2006-12-23","start-actual","2010-09-23","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","21061","Storage","Completion","2006","2010","2909762.39579","2903048.2412","323306.932866","322560.915689"
"ACID006","ACID006_3610051","1","3610051","El Triunfo de la Cruz","15.76667","-87.43333","PPL","populated place","6295630|6255149|HN|01|3610051","Earth|North America|Honduras|Departamento de Atlántida|El Triunfo de la Cruz","2","1","1","Programa de Reconstrucción tras el Paso de los Huracanes Beta y Gamma en Honduras","2006-12-23","start-actual","2010-09-23","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","21061","Storage","Completion","2006","2010","2909762.39579","2903048.2412","323306.932866","322560.915689"
"ACID006","ACID006_3607987","1","3607987","La Ensenada","15.75","-87.43333","PPL","populated place","6295630|6255149|HN|01|3607987","Earth|North America|Honduras|Departamento de Atlántida|La Ensenada","2","1","1","Programa de Reconstrucción tras el Paso de los Huracanes Beta y Gamma en Honduras","2006-12-23","start-actual","2010-09-23","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","21061","Storage","Completion","2006","2010","2909762.39579","2903048.2412","323306.932866","322560.915689"
"ACID006","ACID006_3604835","1","3604835","Mezapa","15.58333","-87.65","PPL","populated place","6295630|6255149|HN|01|3604835","Earth|North America|Honduras|Departamento de Atlántida|Mezapa","2","1","1","Programa de Reconstrucción tras el Paso de los Huracanes Beta y Gamma en Honduras","2006-12-23","start-actual","2010-09-23","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","21061","Storage","Completion","2006","2010","2909762.39579","2903048.2412","323306.932866","322560.915689"
"ACID006","ACID006_3602561","1","3602561","Sambo Creek","15.81667","-86.68333","PPL","populated place","6295630|6255149|HN|01|3602561","Earth|North America|Honduras|Departamento de Atlántida|Sambo Creek","2","1","1","Programa de Reconstrucción tras el Paso de los Huracanes Beta y Gamma en Honduras","2006-12-23","start-actual","2010-09-23","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","21061","Storage","Completion","2006","2010","2909762.39579","2903048.2412","323306.932866","322560.915689"
"ACID006","ACID006_3602301","1","3602301","San Francisco","15.65","-87.05","PPL","populated place","6295630|6255149|HN|01|3602301","Earth|North America|Honduras|Departamento de Atlántida|San Francisco","2","1","1","Programa de Reconstrucción tras el Paso de los Huracanes Beta y Gamma en Honduras","2006-12-23","start-actual","2010-09-23","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","21061","Storage","Completion","2006","2010","2909762.39579","2903048.2412","323306.932866","322560.915689"
"ACID006","ACID006_3601707","1","3601707","Santa Ana","15.65","-87.06667","PPL","populated place","6295630|6255149|HN|01|3601707","Earth|North America|Honduras|Departamento de Atlántida|Santa Ana","2","1","1","Programa de Reconstrucción tras el Paso de los Huracanes Beta y Gamma en Honduras","2006-12-23","start-actual","2010-09-23","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","21061","Storage","Completion","2006","2010","2909762.39579","2903048.2412","323306.932866","322560.915689"
"ACID006","ACID006_3600642","1","3600642","Toyós","15.55","-87.65","PPL","populated place","6295630|6255149|HN|18|3600642","Earth|North America|Honduras|Departamento de Yoro|Toyós","2","1","1","Programa de Reconstrucción tras el Paso de los Huracanes Beta y Gamma en Honduras","2006-12-23","start-actual","2010-09-23","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","21061","Storage","Completion","2006","2010","2909762.39579","2903048.2412","323306.932866","322560.915689"
"871711210388","871711210388_3604609","1","3604609","Monte Verde","14.58333","-88.3","PPL","populated place","6295630|6255149|HN|10|3604609","Earth|North America|Honduras|Departamento de Intibucá|Monte Verde","2","1","1","Apoyo al Programa Red Solidaria de Honduras Fase I","2007-12-19","start_actual_type","2012-01-08","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","23005|21061|31105|11105|14005|12105","Energy generation and supply,purpose unspecified|Storage|Agriculture, purpose unspecified|Education, level unspecified,purpose unspecified|Water Supply and Sanitation,purpose unspecified|Health, general, purposeunspecified","Cancelled","2007","2012","4890936.34805","4890936.34805","1222734.08701","1222734.08701"
"871711210388","871711210388_3612845","3","3612845","Dolores","14.25","-88.33333","ADM2","second-order administrative division","6295630|6255149|HN|10|3612845","Earth|North America|Honduras|Departamento de Intibucá|Dolores","1","1","1","Apoyo al Programa Red Solidaria de Honduras Fase I","2007-12-19","start_actual_type","2012-01-08","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","23005|21061|31105|11105|14005|12105","Energy generation and supply,purpose unspecified|Storage|Agriculture, purpose unspecified|Education, level unspecified,purpose unspecified|Water Supply and Sanitation,purpose unspecified|Health, general, purposeunspecified","Cancelled","2007","2012","4890936.34805","4890936.34805","1222734.08701","1222734.08701"
"871711210388","871711210388_3601886","3","3601886","San Marcos de Sierra","14.11667","-88.25","ADM2","second-order administrative division","6295630|6255149|HN|10|3601886","Earth|North America|Honduras|Departamento de Intibucá|San Marcos de Sierra","1","1","1","Apoyo al Programa Red Solidaria de Honduras Fase I","2007-12-19","start_actual_type","2012-01-08","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","23005|21061|31105|11105|14005|12105","Energy generation and supply,purpose unspecified|Storage|Agriculture, purpose unspecified|Education, level unspecified,purpose unspecified|Water Supply and Sanitation,purpose unspecified|Health, general, purposeunspecified","Cancelled","2007","2012","4890936.34805","4890936.34805","1222734.08701","1222734.08701"
"871711210388","871711210388_3601857","3","3601857","San Miguelito","14.51667","-88.36667","ADM2","second-order administrative division","6295630|6255149|HN|10|3601857","Earth|North America|Honduras|Departamento de Intibucá|San Miguelito","1","1","1","Apoyo al Programa Red Solidaria de Honduras Fase I","2007-12-19","start_actual_type","2012-01-08","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","23005|21061|31105|11105|14005|12105","Energy generation and supply,purpose unspecified|Storage|Agriculture, purpose unspecified|Education, level unspecified,purpose unspecified|Water Supply and Sanitation,purpose unspecified|Health, general, purposeunspecified","Cancelled","2007","2012","4890936.34805","4890936.34805","1222734.08701","1222734.08701"
"ACID008","ACID008_3604609","1","3604609","Monte Verde","14.58333","-88.3","PPL","populated place","6295630|6255149|HN|10|3604609","Earth|North America|Honduras|Departamento de Intibucá|Monte Verde","2","1","1","Apoyo al Programa de Red Solidaria Fase II","2009-01-01","start_actual_type","2012-04-01","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","23005|21061|31105|11105|14005|12105","Energy generation and supply,purpose unspecified|Storage|Agriculture, purpose unspecified|Education, level unspecified,purpose unspecified|Water Supply and Sanitation,purpose unspecified|Health, general, purposeunspecified","Cancelled","2009","2012","4305294.05159","4305294.05159","1076323.5129","1076323.5129"
"ACID008","ACID008_3612845","3","3612845","Dolores","14.25","-88.33333","ADM2","second-order administrative division","6295630|6255149|HN|10|3612845","Earth|North America|Honduras|Departamento de Intibucá|Dolores","1","1","1","Apoyo al Programa de Red Solidaria Fase II","2009-01-01","start_actual_type","2012-04-01","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","23005|21061|31105|11105|14005|12105","Energy generation and supply,purpose unspecified|Storage|Agriculture, purpose unspecified|Education, level unspecified,purpose unspecified|Water Supply and Sanitation,purpose unspecified|Health, general, purposeunspecified","Cancelled","2009","2012","4305294.05159","4305294.05159","1076323.5129","1076323.5129"
"ACID008","ACID008_3601886","3","3601886","San Marcos de Sierra","14.11667","-88.25","ADM2","second-order administrative division","6295630|6255149|HN|10|3601886","Earth|North America|Honduras|Departamento de Intibucá|San Marcos de Sierra","1","1","1","Apoyo al Programa de Red Solidaria Fase II","2009-01-01","start_actual_type","2012-04-01","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","23005|21061|31105|11105|14005|12105","Energy generation and supply,purpose unspecified|Storage|Agriculture, purpose unspecified|Education, level unspecified,purpose unspecified|Water Supply and Sanitation,purpose unspecified|Health, general, purposeunspecified","Cancelled","2009","2012","4305294.05159","4305294.05159","1076323.5129","1076323.5129"
"ACID008","ACID008_3601857","3","3601857","San Miguelito","14.51667","-88.36667","ADM2","second-order administrative division","6295630|6255149|HN|10|3601857","Earth|North America|Honduras|Departamento de Intibucá|San Miguelito","1","1","1","Apoyo al Programa de Red Solidaria Fase II","2009-01-01","start_actual_type","2012-04-01","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","23005|21061|31105|11105|14005|12105","Energy generation and supply,purpose unspecified|Storage|Agriculture, purpose unspecified|Education, level unspecified,purpose unspecified|Water Supply and Sanitation,purpose unspecified|Health, general, purposeunspecified","Cancelled","2009","2012","4305294.05159","4305294.05159","1076323.5129","1076323.5129"
"ACID009","ACID009_3604270","1","3604270","Ojojona","13.93389","-87.29583","PPL","populated place","6295630|6255149|HN|08|3604270","Earth|North America|Honduras|Departamento de Francisco Morazán|Ojojona","2","1","1","Programa de Desarrollo Integral del Municipio de San Juan de Ojojona","2009-01-01","start_actual_type","2013-09-30","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","32105|43010","Industry, purpose unspecified|Multisector aid","Implementation","2009","2013","3350098.32682","3350098.32682","3350098.32682","3350098.32682"
"ACID011","ACID011_3614328","1","3614328","Camasca","14.0","-88.38333","PPL","populated place","6295630|6255149|HN|10|3614328","Earth|North America|Honduras|Departamento de Intibucá|Camasca","2","1","1","Programa Liderazgo, Innovación, Desarrollo Local y Fortalecimiento Municipal en Intibucá","2011-07-27","start_actual_type","2013-09-28","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","43010","Multisector aid","Implementation","2011","2013","826919.656897","842211.08","51682.4785561","52638.1925"
"ACID011","ACID011_3613361","1","3613361","Colomoncagua","13.95","-88.28333","PPL","populated place","6295630|6255149|HN|10|3613361","Earth|North America|Honduras|Departamento de Intibucá|Colomoncagua","2","1","1","Programa Liderazgo, Innovación, Desarrollo Local y Fortalecimiento Municipal en Intibucá","2011-07-27","start_actual_type","2013-09-28","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","43010","Multisector aid","Implementation","2011","2013","826919.656897","842211.08","51682.4785561","52638.1925"
"ACID011","ACID011_3613297","1","3613297","Concepción","14.03333","-88.33333","PPL","populated place","6295630|6255149|HN|10|3613297","Earth|North America|Honduras|Departamento de Intibucá|Concepción","2","1","1","Programa Liderazgo, Innovación, Desarrollo Local y Fortalecimiento Municipal en Intibucá","2011-07-27","start_actual_type","2013-09-28","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","43010","Multisector aid","Implementation","2011","2013","826919.656897","842211.08","51682.4785561","52638.1925"
"ACID011","ACID011_3612841","1","3612841","Dolores","14.23333","-88.35","PPL","populated place","6295630|6255149|HN|10|3612841","Earth|North America|Honduras|Departamento de Intibucá|Dolores","2","1","1","Programa Liderazgo, Innovación, Desarrollo Local y Fortalecimiento Municipal en Intibucá","2011-07-27","start_actual_type","2013-09-28","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","43010","Multisector aid","Implementation","2011","2013","826919.656897","842211.08","51682.4785561","52638.1925"
"ACID011","ACID011_3608715","1","3608715","Jesús de Otoro","14.48333","-87.98333","PPL","populated place","6295630|6255149|HN|10|3608715","Earth|North America|Honduras|Departamento de Intibucá|Jesús de Otoro","2","1","1","Programa Liderazgo, Innovación, Desarrollo Local y Fortalecimiento Municipal en Intibucá","2011-07-27","start_actual_type","2013-09-28","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","43010","Multisector aid","Implementation","2011","2013","826919.656897","842211.08","51682.4785561","52638.1925"
"ACID011","ACID011_3604976","1","3604976","Masaguara","14.36667","-87.98333","PPL","populated place","6295630|6255149|HN|10|3604976","Earth|North America|Honduras|Departamento de Intibucá|Masaguara","2","1","1","Programa Liderazgo, Innovación, Desarrollo Local y Fortalecimiento Municipal en Intibucá","2011-07-27","start_actual_type","2013-09-28","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","43010","Multisector aid","Implementation","2011","2013","826919.656897","842211.08","51682.4785561","52638.1925"
"ACID011","ACID011_3604610","1","3604610","Monte Verde","14.45","-88.3","PPL","populated place","6295630|6255149|HN|10|3604610","Earth|North America|Honduras|Departamento de Intibucá|Monte Verde","2","1","1","Programa Liderazgo, Innovación, Desarrollo Local y Fortalecimiento Municipal en Intibucá","2011-07-27","start_actual_type","2013-09-28","end_actual","Andalusian Agency for International Development Cooperation","ESP","Honduras","HND","43010","Multisector aid","Implementation","2011","2013","826919.656897","842211.08","51682.4785561","52638.1925"
