"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"87171311461","0","Fondo Proyectos Agua y Saneamiento","2006-11-16","start-actual","2009-12-12","end-actual","Government of Taiwan","TWN","Honduras","HND","14005","Water Supply and Sanitation,purpose unspecified","Completion","2006","2009","1183143.15748","1183143.15748"
"87171312887","0","Fondo Pequeños Proyectos Comunitarios","2006-11-16","start-actual","2009-12-31","end-actual","Government of Taiwan","TWN","Honduras","HND","43010","Multisector aid","Completion","2006","2009","1265096.32535","1265096.32535"
"TAIW025","0","Proyectos Despacho Primera Dama","2011-01-01","start-actual","2011-12-31","end-actual","Government of Taiwan","TWN","Honduras","HND","15105","Government and civil society,purpose unspecified","Completion","2011","2011","355000.0","355000.0"
"TAIW035","0","Misión Técnica Taiwan","","","","","Government of Taiwan","TWN","Honduras","HND","31105","Agriculture, purpose unspecified","Completion","2012","2012","2694511.28646",""
"TAIW034","0","Proyectos Embajada de Taiwan","2011-01-01","start-actual","2011-12-31","end-actual","Government of Taiwan","TWN","Honduras","HND","43010","Multisector aid","Completion","2011","2011","350000.0","350000.0"
"ASDC008","0","Traspaso de Gobiernos Locales","2009-01-01","start-actual","2011-06-30","end-actual","Swiss Agency for Development and Cooperation","CHE","Honduras","HND","15105","Government and civil society,purpose unspecified","Completion","2009","2011","486147.170005","485922.461352"
"87171125019","0","Ejecución Programas Cooperación al Desarrollo [Turismo]","","","2012-01-29","end-actual","Spanish Agency for International Development Cooperation","ESP","Honduras","HND","15105","Government and civil society,purpose unspecified","Completion","2011","2012","26025.0","25739.2834785"
"87171352888","1","Rehabilitación de Espacios públicos Colosuca Fase II","2008-01-01","start-actual","2009-03-01","end-actual","Spanish Agency for International Development Cooperation","ESP","Honduras","HND","43010","Multisector aid","Completion","2008","2009","156484.076299","156484.076299"
"OEIA008","0","Mejora de la calidad educativa en la población afrodescendiente de Honduras [2010]","2010-04-01","start-actual","2010-12-31","end-actual","Organization of American States","DAC","Honduras","HND","11105","Education, level unspecified,purpose unspecified","Completion","2010","2010","134172.042397","134172.042397"
"OEIA022","0","Mejora de la calidad educativa en la población afrodescendiente de Honduras [2011]","2011-01-01","start-actual","2011-12-31","end-actual","Organization of American States","DAC","Honduras","HND","11105","Education, level unspecified,purpose unspecified","Completion","2011","2011","131578.95","131578.95"
