"project_id","Activity Created By","Activity Created On","Activity Updated By","Activity Updated On","Objective","Organizations and Project ID","Project Description","Executing Sector","Original Completion Date","Proposed Completion Date","Proposed Start Date","Donor Commitment Date","Donor Group","Donor Type","Funding Organization Id","Type Of Assistance","Primary Sector Sub-Sector","Primary Sector Sub-Sub-Sector","Secondary Sector","Secondary Sector Sub-Sector","Tertiary Sector","Responsible Organization","Executing Agency","Executing Agency Groups","Contracting Agency","Contracting Agency Acronym","Beneficiary Agency","Beneficiary Agency Groups","Final Date for Contracting","Mancomunidad","Implementation Level","Region","Zone","SIAFI Code","Total Costs"
"87171311461","Clara Sierra (csierra@seplan.gob.hn)","25/06/2012","Mario Zavala (mzavala@seplan.gob.hn)","30/08/2013","Mejorar las condiciones de poblaciones de escasos recursos económicos, para mejora la calida de vida a nivel local, en apoyo a la reducción de la pobreza, disminuir las enfermedades diarreicas principalmente y mejorar el ambiente de as comunidades. Adicionalmente se disminuirá la carga de trabajo de los niños y niñas en el acareo de agua permtiéndoles no faltar a la escuela así como también a la mujer.","S/N (Gobierno de Taiwan)","Financiar Proyectos para dotar de agua potable a nivel de comunidades, patronatos, asociaciones, municipalidades e instituciones gubernamentales.   Se aperturo una cuenta a nombre de FONDO PROYECTOS DE AGUA Y SANEAMIENTO, en el Banco Central de Honduras, la cual ira siendo afectada en la medida que se aprueben los proyectos y se efectúen los desembolsos correspondientes.","Sector Público","12/12/2009","12/12/2009","16/11/2006"," - 15/11/2006
 - 18/07/2007","China","Bilateral","S/N","Donación / No reembolsable"," "," ","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","15 - Agua y Saneamiento","NIÑEZ","Gobierno de Taiwan","Secretaría Técnica de Planificación y Cooperación Externa","Gobierno"," "," "," "," ",""," ","Country/National"," "," ","","1100000"
"87171312887","Clara Sierra (csierra@seplan.gob.hn)","13/07/2012","Mario Zavala (mzavala@seplan.gob.hn)","30/08/2013","Mejorar las condiciones de poblaciones de escasos recursos económicos, para mejorar la calidad de vida a nivel local, en apoyo a la reducción de la pobreza.","S/N (Gobierno de Taiwan)","Financiar pequeños proyectos comunitarios que presenten a nivel de comunidades, patronatos, asociaciones, municipalidades e instituciones gubernamentales. Se aperturo una cuenta a nombre de FONDO PEQUEÑOS PROYECTOS COMUNITARIOS, en el Banco Central de Honduras (BCH), la cual ira siendo afectada en la medida que se aprueben los proyectos y se efectúen los desembolsos correspondientes.","Sector Público","31/12/2009","31/12/2009","16/11/2006"," - 16/11/2006
 - 18/07/2007","China","Bilateral","S/N","Donación / No reembolsable","430 - Otro multisector","43040 - Desarrollo rural","4 - FORTALECIMIENTO INSTITUCIONAL","44 - Descentralización"," ","Gobierno de Taiwan","Secretaría Técnica de Planificación y Cooperación Externa","Gobierno"," "," "," "," ",""," ","Country/National"," "," ","","1182600"
"TAIW025","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","30/08/2013","","S/N (Gobierno de Taiwan)","","Sector Público","","","01/01/2011","01/04/2011","China","Bilateral","S/N","Donación / No reembolsable","151 - Gobierno y sociedad civil, generales","15140 - Administración pública","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","14 - Protección Social"," ","Gobierno de Taiwan","Despacho de la Primera Dama","Gobierno"," "," "," "," ",""," ","Sub-national","R12 - Región Centro","Distrito Central","","355000"
"TAIW035","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","12/02/2014","","S/N (Gobierno de Taiwan)","Brindar cooperacion Tecnica agropecuaria","Autoadministrado por Socio al Desarrollo","","","","20/03/2012","China","Bilateral"," ","Donación / No reembolsable","31163 - Ganado"," ","3 - AGROFORESTAL Y TURISMO","31 - Agricultura, Agroindustria y Ganadería"," ","Gobierno de Taiwan","Gobierno de Taiwan","China"," "," "," "," ",""," ","Country/National"," "," ","","2744338.27"
"TAIW034","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","30/08/2013","","S/N (Gobierno de Taiwan)","Proyectos Embajada de Taiwan","Autoadministrado por Socio al Desarrollo","","31/12/2011","01/01/2011","01/04/2011","China","Bilateral","S/N","Donación / No reembolsable"," "," ","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","14 - Protección Social"," ","Gobierno de Taiwan","Gobierno de Taiwan","China"," "," "," "," ",""," ","Country/National"," "," ","","350000"
"ASDC008","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","03/05/2013","Contribuir a mejorar la efectividad en la gestión de los Gobiernos locales,su autonomía y la democracia en Honduras. Garantizar el traspaso ordenado, transparente y participativo entre los gobiernos locales durante y después de las elecciones municipales a fin de garantizar la continuidad de la gestión del municipio a favor de la ciudadania.","HN26 (Cooperación Suiza para el Desarrollo y la Cooperación)","El proyecto fortalece la relación entre los diferentes niveles de gobiernos (central municipal y mancomunal) e instituciones del Estado (Secretaria del interior y población) al organizar las comisiones municipales con la participación de instituciones que tienen responsabilidad en el proceso.","Sector Privado","","31/12/2010","01/01/2009","19/09/2010","Suiza","Bilateral","HN26","Donación / No reembolsable","151 - Gobierno y sociedad civil, generales"," - 15112 - Descentralización y ayuda al gobierno subnacional
 - 15150 - Participación Democratica y sociedad civil","4 - FORTALECIMIENTO INSTITUCIONAL","44 - Descentralización"," ","Cooperación Suiza para el Desarrollo y la Cooperación","Asociación de Municipios de Honduras","ONG Local"," "," ","Asociación de Municipios de Honduras","ONG Local",""," ","Country/National"," "," ","","476000"
"87171125019","Mario Zavala (mzavala@seplan.gob.hn)","03/10/2012","Mario Zavala (mzavala@seplan.gob.hn)","09/05/2013","","1062-11 (Agencia Española de Cooperación Internacional para el Desarrollo)","","Sector Público","","","29/07/2011","29/07/2011","España","Bilateral","1062-11","Donación / No reembolsable","151 - Gobierno y sociedad civil, generales","15110 - Política de sector público y gerencia administrativa","3 - AGROFORESTAL Y TURISMO","33 - Actividad Turistica"," ","Agencia Española de Cooperación Internacional para el Desarrollo"," - Agencia Española de Cooperación Internacional para el Desarrollo
 - Secretaría de Turismo"," - España
 - Gobierno"," "," ","Secretaría de Turismo","Gobierno",""," ","Country/National"," "," ","","26025"
"87171352888"," ","13/07/2012","Mario Zavala (mzavala@seplan.gob.hn)","13/05/2013","","1978-07 (Agencia Española de Cooperación Internacional para el Desarrollo)","","Sector Público","","","01/01/2008","01/01/2008","España","Bilateral","1978-07"," - Donación / No reembolsable
 - Intereses Devengados","430 - Otro multisector","43030 - Desarrollo urbano y gerencia","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","16 - Infraestructura Social","PUEBLOS INDÍGENAS","Agencia Española de Cooperación Internacional para el Desarrollo","Mancomunidad de Municipios Lencas del Centro de Lempira","Mancomunidades"," "," ","Mancomunidad de Municipios Lencas del Centro de Lempira","Mancomunidades","01/06/2009"," ","Sub-national"," - R03 - Occidente
 - R14 - Región Lempa"," - Belén
 - Gracias
 - San Manuel Colohete
 - San Marcos de Caiquin
 - San Sebastián","","149891"
"OEIA008","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","13/05/2013","","S/N (Organización de Estados Iberoamericanos)","","Autoadministrado por Socio al Desarrollo","","","01/04/2010","01/04/2010","España","Bilateral"," ","Donación / No reembolsable","111 - Educación, nivel sin especificar","11110 - Política educativa y gestión","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","12 - Educación y Cultura","PUEBLOS INDÍGENAS","Organización de Estados Iberoamericanos"," - Organización de Estados Iberoamericanos
 - Secretaría de Educación"," - España
 - Gobierno"," "," ","Secretaría de Educación","Gobierno",""," ","Sub-national"," - R01 - Valle de Sula
 - R04 - Valle de Lean
 - R05 - Valle de Aguán
 - R09 - Biosfera Río Plátano
 - R10 - La Mosquitia
 - R15 - Región Arrecife Mesoamericano"," - Ahuas
 - Arizona
 - Balfate
 - Bonito Oriental
 - Brus Laguna
 - Choloma
 - El Porvenir
 - Esparta
 - Guanaja
 - Iriona
 - José Santos Guardiola
 - Juan Francisco Bulnes
 - Jutiapa
 - La Ceiba
 - La Lima
 - La Masica
 - Limón
 - Omoa
 - Pimienta
 - Potrerillos
 - Puerto Cortés
 - Puerto Lempira
 - Roatán
 - Sabá
 - San Antonio de Cortés
 - San Francisco
 - San Francisco de Yojoa
 - San Manuel
 - San Pedro Sula
 - Santa Cruz de Yojoa
 - Santa Fé
 - Santa Rosa de Aguán
 - Sonaguera
 - Tela
 - Tocoa
 - Trujillo
 - Utila
 - Villanueva
 - Villeda Morales
 - Wampusirpi","","131371.519"
"OEIA022","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","13/05/2013","","S/N (Organización de Estados Iberoamericanos)","Mejora de la calidad educativa en la población afrodescendiente de Honduras","Sector Público","","","01/01/2011","01/01/2011","España","Bilateral"," ","Donación / No reembolsable","112 - Educación básica","11220 - Educación primaria","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","12 - Educación y Cultura","PUEBLOS INDÍGENAS","Organización de Estados Iberoamericanos","Secretaría de Educación","Gobierno"," "," ","Secretaría de Educación","Gobierno",""," ","Country/National"," "," ","","131578.95"
