"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"McpAvyLiEaK2HNtu3MqxfW","87171311461","","2006","C","USD","329430.985389"
"4s8TpdW8sWufXGBfsUy2m8","87171311461","","2007","C","USD","853712.172094"
"hf2QBVebMQGZnAB8ajMCiB","87171311461","","2006","D","USD","329430.985389"
"zP8SraFDfBsfdBt9FD2Cfb","87171311461","","2007","D","USD","853712.172094"
"XZGDtfYsQJZnEQXPE4rsgj","87171312887","","2006","C","USD","109810.328463"
"qZeyaTemQZ4xdgEc5UzzBi","87171312887","","2007","C","USD","1155285.99689"
"fYjZLRCWsyU5eM9Z8itLeJ","87171312887","","2006","D","USD","109810.328463"
"b6mxdEDcxGxLSJA6Vf88C9","87171312887","","2007","D","USD","1155285.99689"
"TSyPRmrUtQuhJFDZbea3aY","TAIW025","","2011","C","USD","355000.0"
"UDAiy5vA7BTcW9khz9Abvj","TAIW025","","2011","D","USD","355000.0"
"yRUzkjv4iNynSwSsDU28LW","TAIW035","","2012","C","USD","2694511.28646"
"oQaRQN4bpZNxQjAvRTmv7K","TAIW034","","2011","C","USD","350000.0"
"Raq8BvCESfv7GMTjZADdUT","TAIW034","","2011","D","USD","350000.0"
"hpqxChXCa4b6zsPj7D4R58","ASDC008","","2010","C","USD","486147.170005"
"i7UAMDK2vLwKx6Y5K4yAM8","ASDC008","","2010","D","USD","475381.461352"
"QRsr8fSztQvHixndqLMewb","ASDC008","","2011","D","USD","10541.0"
"fpwosEXPKcXukBxRfFseNP","87171125019","","2011","C","USD","26025.0"
"RCbSd6qb4FqJhsHJ7Cemgj","87171125019","","2011","D","USD","26025.0"
"ddKL9e9HY5LWuJZ4mxLYEf","87171125019","","2012","D","USD","-285.716521513"
"D8LBfjZaMJLVEbQy5KmYuX","87171352888","","2008","C","USD","156484.076299"
"pEwWnVovC3SHYiF5Kdxro4","87171352888","","2008","D","USD","156484.076299"
"aTSpkFo2bniEefCGY5XKzm","OEIA008","","2010","C","USD","134172.042397"
"GqQGUi8HTwU5sCQrgouMNC","OEIA008","","2010","D","USD","134172.042397"
"sXykFZKndL6VFpnZZB43UG","OEIA022","","2011","C","USD","131578.95"
"v4qeqE6fTNjjW8TjBdMMkf","OEIA022","","2011","D","USD","131578.95"
"D7gQmAFVRCfPfaZM5vuWAn","AECD031","","2010","C","USD","1035301.87293"
"aHrgJm4dEf6AWiH6JA2L4a","AECD031","","2010","D","USD","1035301.87293"
"AUdrUvUnkpRZKWBkBtSUp3","87171352930","","2008","C","USD","150075.047442"
"ptgRTG6pYLrqTM8HkuGWJJ","87171352930","","2008","D","USD","149121.888402"
"u2vuPnGfcSJR8rDQcUphfh","87171352930","","2010","D","USD","-69175.8826025"
"yDuAoxMMCBjn2qHTguUfTS","OEIA004","","2010","C","USD","670860.20688"
"TYqqUEsUMVSGGLkgJHWBPe","OEIA004","","2010","D","USD","670860.20688"
"rAp8FmzqczKzaBitWDGAV6","87171352220","","2006","C","USD","6655554.5935"
"Rtf5PiWkbcrH2tgfBVH75M","87171352220","","2007","D","USD","6467888.82252"
"9snAp2B4Ags69StttdbFJC","87171352229","","2007","C","USD","9352201.28296"
"Wwzm4ujadED3zGrDQNm66T","87171352229","","2008","D","USD","9149280.70996"
"bpdrQyMwnUT5Kb6srkUGAd","AEUD006","","2009","C","USD","4838460.11738"
"mmcvAk9J3iNDhiefDtHk6j","AEUD006","","2010","D","USD","4774659.70541"
"kruRK6m8SNoK4NLb4oP9ca","87171352865","","1999","C","USD","19997416.2241"
"UvJHPoVg6HGs6i4X6eBUXe","87171352865","","1999","D","USD","18977699.3279"
"5RQTtBfkkCqdoamPxy9tGX","87171352865","","2006","D","USD","639546.334001"
"abtkMrzeDLPdUiVChejaMU","87171352865","","2007","D","USD","212129.333382"
"zKdYNt89nAXScYab9ExeFg","87171122760","","2012","C","USD","805111.847562"
"CYsDitb5xE9vYwqFVomTuF","87171122760","","2012","D","USD","805111.847562"
"E5dkeSh7KnbhsYSxYZgW8o","AEUD003","","2003","C","USD","54257452.4499"
"E6b4gkJvSWMRiutu3AwjKY","AEUD003","","2003","D","USD","12589018.4006"
"e4DJnMFWdPJJ2zpeHaeeMN","AEUD003","","2006","D","USD","5778054.76823"
"bWuLDjXJxuoNLL8hPxXk7P","AEUD003","","2007","D","USD","8677228.69406"
"XexbVwHqe4E86WHYwtSgkP","AEUD003","","2008","D","USD","9102199.03813"
"7E8YguEhEBjLbqbcUTPEKN","AEUD003","","2009","D","USD","6616123.81904"
"YuxM3qbTZ5753McJVyURE4","AEUD003","","2010","D","USD","2752706.2184"
"PzDChYmYnCg6P2t5Vhqafk","AEUD003","","2011","D","USD","3001705.0"
"qjzbN4MLSA3oKwc9u9SPji","AEUD003","","2012","D","USD","393543.580307"
"kYajtGg9YVvDqBXjL3b3wa","AEUD009","","2010","C","USD","37148803.2247"
"HS6ca7Y7thk7BSrHXQDsGF","AEUD009","","2004","D","USD","9428455.35916"
"vHPhQdDUw7sUUnhK5kn7Lh","AEUD009","","2006","D","USD","7274923.27964"
"n5HDsmYfYJDx7KtMCU6JS8","AEUD009","","2007","D","USD","6926930.92459"
"XvEZHjMbTfRbQM9TJqMRGZ","AEUD009","","2008","D","USD","5322780.41858"
"q9AbfqwqPMLxxuSCKweHVT","AEUD009","","2009","D","USD","5050799.69137"
"nZwjt3YARZpkzQtDwJgFQa","AEUD009","","2010","D","USD","1178917.10044"
"HLQ5NwUUSpuvkbkZMPvKRA","AEUD009","","2011","D","USD","2498470.0"
"Vzhigw7BHxbwqFt4nGiH9C","AEUD009","","2012","D","USD","1547218.78383"
"KdRBeP5AhdJVa5VRetLJT8","BCIE042","","2008","C","USD","200445.274562"
"QJH3bZr463Dx9uTUNVfKYn","BCIE041","","2009","C","USD","24839.1535437"
"WWkEajvfzhT8NZ6JpFZrGm","BCIE041","","2010","D","USD","24511.6220171"
"7XUrxmp2csgkRqWecV9wSG","BCIE040","","2008","C","USD","1043985.80501"
"jKxpc5QuNwG44QUExLD9dn","BAMU016","","2008","C","USD","4826346.37655"
"zh4cdfoAGT9rm6J4Nyxjqa","BAMU016","","2008","D","USD","1670672.6838"
"xX6GgbB7Z2uhPzoxGPSy9m","BAMU016","","2010","D","USD","2256884.15798"
"Wyh5Qp2VZMbyTXSAoZSuT3","BAMU016","","2011","D","USD","812940.0"
"jp8FH5bYSPJvvqVT8wueCT","BAID055","","2009","C","USD","155244.709648"
"e4Nw8yHdCxPEzEKGQuGVU8","BAID055","","2010","D","USD","153197.637607"
"9rBpNcYhpom6HpzySNanTa","BAID145","","2011","D","USD","37175.0"
"cuvzZtEypfQoxzK5Au7XRE","BAID145","","2012","D","USD","7525.83208727"
"vxaNc7RAowNbPyAVRR9wGH","BAID059","","2006","C","USD","164715.492695"
"8VzX8fY99US7P2YACpzXH9","BAID059","","2006","D","USD","98506.453251"
"wskaVW2PYZmwkr69PnkhXh","BAID059","","2010","D","USD","33493.0888511"
"xPiwFQfNnY7UPG74xKceUR","BAID059","","2011","D","USD","27500.0"
"rX6vb4Wr8gAmLkgRLGNJnL","AECD074","","2010","C","USD","335681.556936"
"K3Qupa2HTyUMcT6J8oKz38","AECD074","","2012","C","USD","11625.0296038"
"oH8AkVT9HBcaPT4PQaoQUd","AECD074","","2012","D","USD","322707.483533"
"UrEXFY5owHuTTH4ZsU7vTo","BAID133","","2011","C","USD","361500.0"
"etyBwLaSsrmtEwqwqwm44S","BAID133","","2011","D","USD","140818.0"
"TqnmBD3kjCgPABSaWeVV7T","BAID133","","2012","D","USD","216657.561866"
"5wxFRRvdCMpJ9aArkFZtxN","87171353075","","2008","C","USD","371427.181734"
"nXQ7nTQiB5RR89onTQdSeN","87171353075","","2008","D","USD","371427.181734"
"jjeZVJWcx2np9k5znSqZQn","OEIA003","","2010","C","USD","67086.020688"
"acYiVkXTZ9tkk3b64g8poF","OEIA003","","2010","D","USD","67086.020688"
"SzH5DoXPkcv52PmGw6DzoF","OEIA005","","2010","C","USD","40251.6171109"
"zB74q4hTNk3Vt5RimnVKoL","OEIA005","","2010","D","USD","40251.6171109"
"ACnrvaNQnHgG8jPM9jBSiU","87171352794","","2006","C","USD","92629.4044717"
"nwZ9pnpANaAXJ85hSJVUxP","87171352794","","2006","D","USD","92629.4044717"
"S2A9kmu4Sxvb2iA798byoL","OPSA002","","2010","C","USD","255074.066615"
"vGNDJ3MRQ9ymuFofZjePRh","OPSA002","","2010","D","USD","118261.427009"
"v4Mt8avLumCKqqSMd7UUbT","OPSA002","","2011","D","USD","133957.0"
"4HbZowpCfj8ZBCTBoUtKz5","OPSA007","","2010","C","USD","1021317.58404"
"4yxYxhen29swquAcrC78bf","OPSA007","","2010","D","USD","634463.930878"
"JBxJcnggqVkPkssQ3f58sn","OPSA007","","2011","D","USD","378779.0"
"HseXSqavrbbMfuktcBbN7R","OEIA020","","2011","C","USD","9201.5"
"3NiZAPbfVZD2mh8d25HwgY","OEIA020","","2011","D","USD","9201.5"
"c9q6yjtt8FvdATYVsTfktU","ACID004","","2006","C","USD","2920746.71243"
"jmggZ5Rku8pDjwMRytPWhY","ACID004","","2006","D","USD","2874614.7785"
"Vjsutm4K62AoXCirQBwqeb","AECD089","","2010","C","USD","138904.298018"
"EAoSnKeB3sF96BecUrpBDD","AECD089","","2010","D","USD","138904.298018"
"s9bjRga7dX9jzNF93LDDdX","87171311458","","2007","C","USD","5510.47303146"
"8bWQG3xTusvHbHsdZEQ79X","87171311458","","2007","D","USD","5510.47303146"
"ccmS76uxLgCcAJtSFgA3HZ","TAIW012","","2010","C","USD","102131.758404"
"7Ma5WDnhfxb3cZfvRApw95","TAIW012","","2010","D","USD","102131.758404"
"zMKZU4N42G5PtMZktPmsXc","87171345077","","2012","C","USD","4869.15935906"
"qknLpkGctuondhmLYrRDNJ","87171345077","","2012","D","USD","4869.15935906"
"kQNF3EaWv482o8uUkWEjDh","UNES003","","2011","C","USD","25000.0"
"Ah5mEF8EYDToDDGxqtReRh","UNES003","","2011","D","USD","25000.0"
"rksfhP6rGohbFnxRxWEu2n","87171352877","","2007","C","USD","566336.647864"
"St9PVKfPojUXr5geDXHGbF","87171352877","","2007","D","USD","532237.24943"
"JUtr9bKeC7n7v9cmAf6jcA","87171352877","","2009","D","USD","-181004.981803"
"NCzokXhK5ZwiQtyyU9Dw99","AECD077","","2010","C","USD","1750989.76142"
"cPumeXiyuWdzREY72RgNh7","AECD077","","2010","D","USD","1672795.64455"
"mBN2BfBg7RTAYLusihS8Xn","AECD077","","2011","D","USD","-245888.0"
"Atc92G7SmqJMKXfnRpPWWY","87171352906","","2008","C","USD","846193.298377"
"kwCmYoZ4vm7gamU6YxLML7","87171352906","","2008","D","USD","766703.175198"
"XZNQxGRwLV7m7L7Bu8QHvm","87171352906","","2009","D","USD","-654447.528064"
"JFWar6JBVnJcubAg98of9j","AECD058","","2010","C","USD","202261.734344"
"tLSY7z7ejLAV73La6HGUbB","AECD058","","2010","D","USD","202261.734344"
"KfpJpGuRfkWNCc6hmyQadG","AECD058","","2011","D","USD","-1891.0"
"Aaz9rAWTC5Zv3dUkUAhD4J","87171352834","","2007","C","USD","467901.500141"
"zBWtPcx72geBTEPnVLBMzM","87171352834","","2007","D","USD","445296.268964"
"hGwayNryWxefKfwSV9yZDL","87171352834","","2008","D","USD","-126664.70975"
"CNBbmoYv5XmHYQEbBUMKph","AECD103","","2010","C","USD","151740.217414"
"gKz8TQYvmrc4xVjtjcRvoL","AECD103","","2010","D","USD","149186.923454"
"bHrZ8nNu6BssT3fPmZkrRA","AECD104","","2010","C","USD","94136.8843565"
"ngnAVheWcx6ctZVG34cwi8","AECD104","","2010","D","USD","75864.4914604"
"sJNUs3JJPzUNtM8BQPBy75","AECD106","","2010","C","USD","10542.0401025"
"r8yWEPLWW79eBjmVNuKeoM","AECD106","","2012","C","USD","20342.819963"
"dYwS2mXT2r5d2382gBMYhn","AECD106","","2010","D","USD","10542.0401025"
"raQebcXcFrkorAbNrNwmYR","AECD105","","2010","C","USD","38129.8706827"
"BBnJxgxFM2u9f2yFiyvB6A","AECD105","","2010","D","USD","22827.469321"
"3ALL2K4eJK59GHtvPixswS","87171202018","","2012","C","USD","294553.114962"
"rxEoGS8avYAjvCe4rkJPea","87171406961","","2012","C","USD","2454.60929135"
"rfcbwqnPRfwLrohVRMgjHP","87171406961","","2012","D","USD","2454.60929135"
"YmDH2m43ZxJ2zaUR3yTeaC","87171406960","","2012","C","USD","5891.06229923"
"yDDCmrFSgWnra6TBD9sRwY","87171406960","","2012","D","USD","5891.06229923"
"jA8aufBZkN4awAURcRtfYS","87171406969","","2012","C","USD","14727.6557481"
"vTs3vcjPYH8Vqu6ixBTJFK","87171406969","","2012","D","USD","14727.6557481"
"LuJ4aFMVFZVWX4yJjB5Nhd","87171352911","","2008","C","USD","350788.626355"
"SpzYuQ3xeXsBtYQhPirBDN","87171352911","","2008","D","USD","350788.626355"
"mqCvTDzhRadHg9WoA2yWin","87171352878","","2007","C","USD","461751.571081"
"P39bnBA3QPyTjnZmMrTLsJ","87171352878","","2007","D","USD","461751.571081"
"h8G7SankU4MxVLmbd4C3vZ","87171352915","","2008","C","USD","384906.082463"
"e8hn8jKXiWdsfWd34uP67a","87171352915","","2008","D","USD","384906.082463"
"WmpnF3Aw7CbVMwhyGXeQkM","87171352876","","2007","C","USD","1019416.63756"
"CgGXbjoJcsauyq5ZfKpdbc","87171352876","","2007","D","USD","1019416.63756"
"zpVBhiAMkFdfYkqBBrhDhC","87171352795","","2006","C","USD","809409.734894"
"iQKmPik3qVE5djyYTHVmya","87171352795","","2006","D","USD","809409.734894"
"hGjXc8dSz48ygD4TXGre58","UNDP005","","2005","C","USD","170037.915848"
"4XS5rjdeEHKdBYqPKVvEeA","UNDP005","","2005","D","USD","170037.915848"
"79XFRyns9A9C4uJntuxv6T","FAOO007","","2010","C","USD","287599.967714"
"q3TbxcjgHi3PSvXARxiuc","FAOO007","","2010","D","USD","287599.967714"
"uLibxYDUFeTNCGvxAc6d65","BCIE016","","2008","C","USD","2481832.5016"
"sQfTSjNV7RgVaUeQkghvrM","BCIE016","","2008","D","USD","2481832.5016"
"ufAoAA9Dpjdv3u64qRvYQW","AECD070","","2010","C","USD","347727.99784"
"QuPnnBFksu4AQBiF6XLVs5","AECD070","","2010","D","USD","335681.556936"
"sNFmdgZudX4tbPXFuznUBh","AECD070","","2012","D","USD","11580.8466366"
"xC3jP4cAtHmtVteiH4g5KK","87171353090","","2009","C","USD","411641.69728"
"7eGb2SSyzs8TBHRxwbtqkY","87171353090","","2009","D","USD","411641.69728"
"WWKNiKm9u6oGwmJn43o3DX","87171353090","","2011","D","USD","-135433.0"
"NXjTDK9vuZVscGx7VkBfCW","87171352856","","2007","C","USD","529089.185795"
"35vx5eLhWZ5L2WqsaR4bXH","87171352856","","2007","D","USD","526222.847177"
"K3r3JKUZCcqRRKPvK2Kvog","87171352856","","2009","D","USD","-328066.225323"
"2jNhfEcmesodVGKTEZBT4h","BAID044","","2008","C","USD","83518.8644007"
"TSfakJw5swBU6cJAyCqHHh","BAID044","","2008","D","USD","51583.3386255"
"iqjG6ptQ9VYPsTUNMWVnDH","BAID044","","2010","D","USD","24174.5872143"
"zGu5jN6MbS2XWReTLqFTAM","BAID044","","2011","D","USD","6920.0"
"GX5tYLgWXfJmUwJUxRNh2c","UNFP037","","2011","C","USD","61304.7"
"vL2iHbpUqrJFKqdqNuTrV5","UNFP037","","2011","D","USD","61304.7"
"t3VeUTv2SRqBtUcKM5HrLk","BCIE043","","2012","C","USD","1865503.06142"
"mCs9FCKiA2R9SkoHSCY2jQ","UNIC012","","2010","C","USD","102131.758404"
"L5H2mxXxyQD7NQPRfccPhk","UNIC012","","2010","D","USD","102131.758404"
